,id,ground,city,country,timezone,capacity,ends,homeTeam
57,254,Pallekele International Cricket Stadium,Pallekele,Sri Lanka,+05:30,35000,"Hunnasgiriya End, Rikillagaskada End",Kandurata 
58,207,Boland Park,Paarl,South Africa,+02:00,10000,"Riebeeck Kelders End, Stables End",Boland
59,52,Newlands,Cape Town,South Africa,+02:00,25000,"Wynberg End, Kelvin Grove End",Western Province
60,99,Buffalo Park,East London,South Africa,+02:00,15000,"Buffalo Park Drive End, Bunkers Hill End",Border
61,75,SuperSport Park,Centurion,South Africa,+02:00,22000,"Pavilion End, Hennops River End","Northern Transvaal, Northerns"
62,88,The Wanderers Stadium,Johannesburg,South Africa,+02:00,34000,"Corlett Drive End, Golf Course End","Gauteng, Transvaal"
63,12,Kennington Oval,London,England,+01:00,23500,"Pavilion End, Vauxhall End","England, Surrey"
64,60,Riverside Ground,Chester-le-Street,England,+01:00,5000,"Finchale End, Lumley End",Durham
65,63,County Ground,Bristol,England,+01:00,7000,"Pavilion End, Ashley Down Road End",Gloucestershire
66,20,Edgbaston,Birmingham,England,+01:00,21000,"City End, Pavilion End",Warwickshire
67,222,Grace Road,Leicester,England,+01:00,12000,"Pavilion End, Bennett End",Leicestershire
68,223,The Cooper Associates County Ground,Taunton,England,+01:00,6500,"River End, Old Pavilion End",Somerset
69,225,New Road,Worcester,England,+01:00,4500,"New Road End, Diglis End",Worcestershire
70,118,County Ground,Chelmsford,England,+01:00,6500,"River End, Hayes Close End",Essex
71,119,County Ground,Northampton,England,+01:00,6500,"Wantage Road End, Lynn Wilson Centre End",Northamptonshire
72,292,County Ground,Hove,England,+01:00,4000,"Cromwell Road End, Sea End",Sussex
73,226,County Ground,Derby,England,+01:00,9500,"Grandstand End, Scoreboard End",Derbyshire
74,67,St Lawrence Ground,Canterbury,England,+01:00,15000,"Pavilion End, Nackington Road End",Kent
75,352,College Ground,Cheltenham,England,+01:00,4000,"Chapel End, College Lawn End",Gloucestershire
76,96,Warner Park,"Basseterre, St Kitts",West Indies,-04:00,8000,"Pavillion End, Lozack Road End",Leeward Islands
77,109,Sir Vivian Richards Stadium,"North Sound, Antigua",West Indies,-04:00,10000,"Media Centre End, Pavilion End","Antigua and Barbuda, Leeward Islands"
78,59,Daren Sammy National Cricket Stadium,"Gros Islet, St Lucia",West Indies,-04:00,20000,"Pavilion End, Media Centre End",West Indies
79,500,Brian Lara Stadium,"Tarouba, Trinidad",West Indies,-04:00,15000,,
80,55,Kensington Oval,"Bridgetown, Barbados",West Indies,-04:00,28000,"Malcolm Marshall End, Joel Garner End",Barbados
81,110,Providence Stadium,Guyana,West Indies,-04:00,15000,"Media Centre End, Pavillion End",
82,453,Simonds Stadium,Geelong,Australia,+11:00,0,,Victoria
83,396,Sydney Showground Stadium,Sydney,Australia,+11:00,0,,
84,33,Docklands Stadium,Melbourne,Australia,+11:00,48000,"Lockett End, Coventry End",Australia
85,74,Kingsmead,Durban,South Africa,+02:00,25000,"Umgeni End, Old Fort End","KwaZulu-Natal, Natal"
86,73,St George's Park,Gqeberha,South Africa,+02:00,19000,"Duckpond End, Park Drive End",Eastern Province
87,423,Molyneux Park,Alexandra,New Zealand,+13:00,0,,Otago
88,418,Eden Park Outer Oval,Auckland,New Zealand,+13:00,0,"City End, Sandringham End",Auckland
89,97,Gymkhana Club Ground,Nairobi,Kenya,+03:00,7000,"City End, Forest Road End","East Africa, Kenya"
90,262,Ruaraka Sports Club Ground,Nairobi,Kenya,+03:00,0,"Thika Road End, Mathare Valley End",Kenya
91,936,Grainville,St Saviour,Jersey,+01:00,0,,"Jersey, Channel Islands"
92,1566,Farmers Cricket Club Ground,St Martin,Jersey,+01:00,0,,Farmers Cricket Club Ground The Farmers Field Rue 
93,1563,Grainville,St Saviour,Jersey,+01:00,0,,Channel Islands
94,1438000,Kowloon Cricket Club,Kowloon,Hong Kong,+08:00,1000,"Clubhouse End, Bowling Club End",Hong Kong
95,220,North Marine Road Ground,Scarborough,England,+01:00,11500,"Pavilion End, Trafalgar Square End",Yorkshire
96,957,The Gnoll Cricket Ground,"Neath, Wales",England,+01:00,6000,"Llantwit Road End, Dyfed Road End",Glamorgan
97,349,Arundel Castle,Arundel,England,+01:00,6000,"Park End, Castle End","Marylebone Cricket Club, Sussex"
98,280,Aigburth,Liverpool,England,+01:00,3000,"Aigburth Road End, River End",Lancashire
99,1438087,BCCI Centre of Excellence Ground,Bengaluru,India,+05:30,0,,
100,1438102,BCCI Centre of Excellence Ground B,Bengaluru,India,+05:30,0,,
101,1360,Tshwane University of Technology Oval,Pretoria,South Africa,+02:00,0,,Northern Transvaal
102,367,LC de Villiers Oval,Pretoria,South Africa,+02:00,0,,
103,102,Senwes Park,Potchefstroom,South Africa,+02:00,0,"Cargo Motors End, University End","South Africa, North West"
104,300,Allan Border Field,Brisbane,Australia,+10:00,4500,"Crosby Road End, Albion Park End",Queensland
105,527,Karen Rolton Oval,"Adelaide, South Australia",Australia,+10:30,0,"Cnr Port, Goal Roads",Australian Cricket Academy
106,38,W.A.C.A. Ground,Perth,Australia,+08:00,22000,"Members End, Prindiville Stand End","Western Australia, Western Australia Women"
107,122,Junction Oval,Melbourne,Australia,+11:00,8000,"City End, St Kilda End",Victoria
108,32,Green Park,Kanpur,India,+05:30,45000,"Mill Pavilion End, Hostel End",Uttar Pradesh
109,732,Ian Healy Oval,Brisbane,Australia,+10:00,0,,Northern Suburbs (Brisbane)
110,439,Great Barrier Reef Arena,Mackay,Australia,+10:00,0,,Queensland
111,135,Willowmoore Park,Benoni,South Africa,+02:00,20000,"Chalet End, Ekurhuleni End","South Africa, Easterns"
112,72,Mangaung Oval,Bloemfontein,South Africa,+02:00,20000,"Loch Logan End, Willows End","Free State, Orange Free State"
113,148,Diamond Oval,Kimberley,South Africa,+02:00,11000,"North End, South End",Griqualand West
114,206,City Oval,Pietermaritzburg,South Africa,+02:00,12000,"Duzi End, Hulett End","KwaZulu-Natal, Natal"
115,208,Pukekura Park,New Plymouth,New Zealand,+13:00,0,"South Terrace End, North City End",Central Districts
116,420,Mainpower Oval,Rangiora,New Zealand,+13:00,0,,
117,281,Cobham Oval (New),Whangarei,New Zealand,+12:00,0,,
118,82,John Davies Oval,Queenstown,New Zealand,+13:00,19000,"Remarkables End, Coronet Peak End","New Zealand, Otago"
119,505,Cobham Oval,Whangarei,New Zealand,+13:00,0,,Northern Districts
120,1438120,Albert Park 1,Suva,Fiji,+12:00,0,,
121,1438123,Albert Park 2,Suva,Fiji,+12:00,0,,
122,27,M.Chinnaswamy Stadium,Bengaluru,India,+05:30,40000,"Pavilion End, BEML End","Karnataka, Royal Challengers Bengaluru"
123,256,Colombo Cricket Club Ground,Colombo,Sri Lanka,+05:30,6000,"Press Box End, Pavilion End",Colombo Cricket Club
124,132,Dr DY Patil Sports Academy,Navi Mumbai ,India,+05:30,60000,"Media End, Pavilion End",
125,301,North Sydney Oval,Sydney,Australia,+11:00,20000,"Fig Tree End, Scoreboard End","New South Wales, North Sydney"
